month,totalCost,maxBudget,Attractions,rangeAttractions,maxAttr,hostelNight,rangeNight,maxHostel,drinksEntertainment,drinkRound,meals,mealsRound,transport,TransportRound,avgTemp,avgTempYear,currency,currencyCode,rank,country,city
April,82.77,85,14.88,10-15,15,29.202,25-30,30,11.16,11,23.808,24,3.72,4,12.6,15.2,Euro,EUR,19,Italy,Rome
May,82.77,85,14.88,10-15,15,29.202,25-30,30,11.16,11,23.808,24,3.72,4,17.2,15.2,Euro,EUR,19,Italy,Rome
June,82.77,85,14.88,10-15,15,29.202,25-30,30,11.16,11,23.808,24,3.72,4,21.1,15.2,Euro,EUR,19,Italy,Rome
July,82.77,85,14.88,10-15,15,29.202,25-30,30,11.16,11,23.808,24,3.72,4,24.1,15.2,Euro,EUR,19,Italy,Rome
August,82.77,85,14.88,10-15,15,29.202,25-30,30,11.16,11,23.808,24,3.72,4,24.5,15.2,Euro,EUR,19,Italy,Rome
September,82.77,85,14.88,10-15,15,29.202,25-30,30,11.16,11,23.808,24,3.72,4,20.8,15.2,Euro,EUR,19,Italy,Rome
October,82.77,85,14.88,10-15,15,29.202,25-30,30,11.16,11,23.808,24,3.72,4,16.4,15.2,Euro,EUR,19,Italy,Rome
November,82.77,85,14.88,10-15,15,29.202,25-30,30,11.16,11,23.808,24,3.72,4,11.4,15.2,Euro,EUR,19,Italy,Rome
December,82.77,85,14.88,10-15,15,29.202,25-30,30,11.16,11,23.808,24,3.72,4,8.4,15.2,Euro,EUR,19,Italy,Rome
January,53.196,60,7.44,05-10,10,13.392,10-15,15,9.3,9,19.344,19,3.72,4,12.2,18.62,Euro,EUR,10,Malta,Valletta
February,53.196,60,7.44,05-10,10,13.392,10-15,15,9.3,9,19.344,19,3.72,4,12.4,18.62,Euro,EUR,10,Malta,Valletta
March,53.196,60,7.44,05-10,10,13.392,10-15,15,9.3,9,19.344,19,3.72,4,13.4,18.62,Euro,EUR,10,Malta,Valletta
April,53.196,60,7.44,05-10,10,13.392,10-15,15,9.3,9,19.344,19,3.72,4,15.5,18.62,Euro,EUR,10,Malta,Valletta
May,53.196,60,7.44,05-10,10,13.392,10-15,15,9.3,9,19.344,19,3.72,4,19.1,18.62,Euro,EUR,10,Malta,Valletta
June,53.196,60,7.44,05-10,10,13.392,10-15,15,9.3,9,19.344,19,3.72,4,23,18.62,Euro,EUR,10,Malta,Valletta
July,53.196,60,7.44,05-10,10,13.392,10-15,15,9.3,9,19.344,19,3.72,4,25.9,18.62,Euro,EUR,10,Malta,Valletta
August,53.196,60,7.44,05-10,10,13.392,10-15,15,9.3,9,19.344,19,3.72,4,26.3,18.62,Euro,EUR,10,Malta,Valletta
September,53.196,60,7.44,05-10,10,13.392,10-15,15,9.3,9,19.344,19,3.72,4,24.1,18.62,Euro,EUR,10,Malta,Valletta
October,53.196,60,7.44,05-10,10,13.392,10-15,15,9.3,9,19.344,19,3.72,4,20.7,18.62,Euro,EUR,10,Malta,Valletta
